user_name,sentiment_gold,sentiment_pred,entities_gold,entities_pred,tweet_id,user_id,created_at,gold_int,pred_int,text
TomNow,-1,-1,['transverse myelitis'],['myelitis'],1337431495150096386,36489765,2020-12-11,"[(118, 137, 'ADE')]","[(129, 137, 'ADE')]","---------- ------------ ------- -------- --------------- --- --- ------- ----- --- --- ------- --- --- --------- ---- transverse myelitis ---- --- ----------- -----?  - ----- --- ---- --------:  --- ---'- ----- ----- -- ------ ------ -- ---- ---- --------, --- ---'-- ------- ----- --- --- -------- ---- ---- ------ --- ------ ------?"
AkshatRathi,-1,-1,[],[],1337427254385709059,13766492,2020-12-11,[],[],"--------- -------- --- ----. --- ----- --------- ---- -------- -------- ---- ------, ------- --- ----------- --- ---- ----- ---- ----- ----. -----://-------.---/------------/------/-------------------"
info_zampa,0,0,[],[],1337427678312460296,1265964896090456064,2020-12-11,[],[],"“----------- ---- ----- -------- ------ -- ---- - ----------- -- --- ------------ -------- ------- ---- ------'- ------- - ---- ----- -- -------- --- -------- -- --- ------- ---------'- -------, ------'- --------- ------ ---- ---- -- ------.” -----://-------.---/---------/------/-------------------"
scooperpr,0,0,[],[],1337428331617107968,20106410,2020-12-11,[],[],------- -- ----- --------. ---- -------- --- ------ --- ------ -- -------- &--;&--; ----------- (------) ---- ----- --------- --- -------- ------- ---- ------’- ------- - -- --------- ------- --- -------- -- ------- --- ------------ -----://---.---------.---/----/--------/----------/------------------------------------------------------------------------- --- --------
HealthWatch123,0,-1,[],[],1337428480364077059,2670271687,2020-12-11,[],[],---------- ----- ------- ------ ---- -----------/------ -------- ------- -------- ----- ------ ----- -----://---------.---.---/---------------------------------------------------------------------------------------------- ------------- ---------------
VirginMediaNews,0,0,[],[],1337429006984110081,72820731,2020-12-11,[],[],---------- -------- -- --- ------------------ --- ------- - -------- --- -- ------- ----- ------- -- --- -- -------- -- -------- --- -- --------.
WarBabie777,0,0,[],[],1337429130871238656,1045512402815668224,2020-12-11,[],[],"----------- --- ---- ------- ---------- ---- ------ ------- --------- ------ ------- -- --- -------- ------- ------- -- ---- -- --- --------- ---- ----- -- --- ------ ------ ----------, - ------ --------- ---- -------. -----://------.-------.---/-------/---/-------------"
AJBlackston,0,0,[],[],1337429328137756673,344075523,2020-12-11,[],[],----------- -- ----- -------- ----- -------- ---- ------&---;#---;- ------- - ------- -----://-------.---/------/----------/------------------------------------------------------------------------- #--------- #------- #----- #----- #---- #----- #---- #-------- #------- #-------- #----- #-------- #-------- #------ ------ -------
monicakappel,0,0,[],[],1337429351814615043,1276858260025421825,2020-12-11,[],[],"#----------- ---- ----- -------- ------ -- ---- - ----------- -- --- ------------ #-------- ------- ---- ------’- ------- - ---- ----- -- -------- --- -------- -- --- ------- ---------’- #-------, ------’- --------- ------ ---- ---- -- ------. -----://-.--/----------"
GuardianNigeria,0,0,[],[],1337429820532269058,57320024,2020-12-11,[],[],----------- -- --- ---- -- ------- ----- ------- -- ------ | --- -------- ------- ---- - ------- --- ----- ---- -----://--------.--/----/----------------------------------------------------------/?--------=--------&-------=------------&----------=------&----------=-------#-------=----------
